iter	Logloss
0	0.6783845573
1	0.6655993193
2	0.6524289377
3	0.6409135369
4	0.6290425756
5	0.6182378065
6	0.607935298
7	0.5986769844
8	0.5884729808
9	0.5803454519
10	0.5714949656
11	0.5632930095
12	0.5552558762
13	0.5470205933
14	0.5406021012
15	0.5344793318
16	0.5283585002
17	0.5231813809
18	0.5170896628
19	0.5115201854
20	0.5063542138
21	0.5018462253
22	0.4973216774
23	0.4931596729
24	0.4890368625
25	0.4862362471
26	0.4825868952
27	0.4787583231
28	0.4748871795
29	0.4712901609
30	0.4677577122
31	0.4644840926
32	0.4606878461
33	0.4571279141
34	0.4546565389
35	0.4522275454
36	0.4501847186
37	0.4483680084
38	0.4461747262
39	0.4440640726
40	0.4425340442
41	0.4403692608
42	0.438487419
43	0.4369490528
44	0.4350681004
45	0.4334441556
46	0.4319314994
47	0.430098918
48	0.4285605177
49	0.4270652909
50	0.4248805674
51	0.4235055657
52	0.4220856746
53	0.4206553378
54	0.4192624674
55	0.4182409619
56	0.4169419246
57	0.4157808827
58	0.4148943926
59	0.4138932719
60	0.4130117298
61	0.4120846631
62	0.4112193932
63	0.4104325003
64	0.409524226
65	0.4086932551
66	0.4076713167
67	0.4065724357
68	0.4058961858
69	0.4049792793
70	0.4043313033
71	0.4029581492
72	0.4023224396
73	0.4013173213
74	0.4005319893
75	0.3997142089
76	0.3987311046
77	0.3981638538
78	0.3975495016
79	0.397080223
80	0.3964940632
81	0.3961979385
82	0.3949053704
83	0.393937059
84	0.3932920672
85	0.3928897056
86	0.3924605447
87	0.3919685775
88	0.3914029623
89	0.3910109973
90	0.3906138961
91	0.3900387789
92	0.3895935593
93	0.3890196512
94	0.3885584301
95	0.388197547
96	0.3877463018
97	0.3872649327
98	0.3868210728
99	0.3863713684
100	0.3859888582
101	0.3856310489
102	0.3851878287
103	0.3842608513
104	0.3838580996
105	0.3831715794
106	0.3828494785
107	0.3824592914
108	0.3819643285
109	0.3815827397
110	0.3814756533
111	0.3811279957
112	0.3807357607
113	0.3804510746
114	0.3798822328
115	0.3796667
116	0.3791537191
117	0.3788882312
118	0.3784648286
119	0.3780001273
120	0.3777354629
121	0.37737693
122	0.3769285691
123	0.3767630348
124	0.3757465023
125	0.3754733503
126	0.3752840198
127	0.3750678931
128	0.3747241666
129	0.3744655621
130	0.3742418151
131	0.3737846752
132	0.3734350026
133	0.3729868534
134	0.3728074557
135	0.3725143115
136	0.3722484919
137	0.3713704371
138	0.3706298387
139	0.3703459712
140	0.3700822075
141	0.3697166091
142	0.3694492743
143	0.3692275687
144	0.3688820441
145	0.3686129146
146	0.3681243738
147	0.3677606574
148	0.3675647543
149	0.3673883362
150	0.3670459122
151	0.3668472707
152	0.3667114727
153	0.3664287437
154	0.3662837909
155	0.3659390317
156	0.3657184732
157	0.3652959997
158	0.3651157103
159	0.3649479026
160	0.3646444173
161	0.3644301079
162	0.3639758855
163	0.3637898294
164	0.3635862676
165	0.3631085901
166	0.3628804615
167	0.3627668978
168	0.3625446875
169	0.3624371658
170	0.3622553895
171	0.3620539323
172	0.3618653104
173	0.3617220232
174	0.3616004701
175	0.3614243417
176	0.3611843564
177	0.360978414
178	0.3608429563
179	0.3606800524
180	0.3605214949
181	0.3602835678
182	0.3601002052
183	0.3599134707
184	0.3595656057
185	0.3594554301
186	0.3592704854
187	0.3591111437
188	0.3587902355
189	0.3585516389
190	0.3582803506
191	0.3580239104
192	0.3578949573
193	0.3575492638
194	0.3573325901
195	0.357219444
196	0.3571012765
197	0.3569680287
198	0.3567660998
199	0.3566248347
200	0.3564190594
201	0.3562321443
202	0.3560904157
203	0.3559553837
204	0.3557053574
205	0.355435209
206	0.3552830973
207	0.3551355931
208	0.3549696242
209	0.3548075647
210	0.3546335088
211	0.3545500594
212	0.3544181987
213	0.3542674186
214	0.3541317683
215	0.3539607961
216	0.3538605171
217	0.3536542021
218	0.3535042023
219	0.3533826066
220	0.3532209546
221	0.3531285881
222	0.3530014922
223	0.3525519532
224	0.3523378669
225	0.3522382129
226	0.3520601516
227	0.351913061
228	0.3517149555
229	0.3513613386
230	0.3512863149
231	0.3510697918
232	0.350921755
233	0.3507703337
234	0.3505686887
235	0.3504710685
236	0.350382724
237	0.3503055475
238	0.3500880354
239	0.3498906759
240	0.3497579266
241	0.349680289
242	0.3493627641
243	0.3492457838
244	0.348950167
245	0.3488728368
246	0.3487339709
247	0.3485724689
248	0.3485042115
249	0.3482719749
250	0.3481861773
251	0.347865213
252	0.3476937878
253	0.3475791435
254	0.3473246976
255	0.3472222779
256	0.3466477021
257	0.3464796914
258	0.3461697582
259	0.3458184483
260	0.3457244329
261	0.3455542564
262	0.345371136
263	0.3452582736
264	0.3451652907
265	0.3451065867
266	0.3449878643
267	0.3448274951
268	0.3446741357
269	0.3445366052
270	0.3444351998
271	0.3443062492
272	0.3441478565
273	0.3439306826
274	0.3437925319
275	0.3436811635
276	0.3435890055
277	0.3434721041
278	0.3434134335
279	0.3432376385
280	0.343119886
281	0.3430361607
282	0.3428354494
283	0.3422210709
284	0.3420704832
285	0.3419414512
286	0.3419391406
287	0.341839996
288	0.3417428543
289	0.3416342654
290	0.3415437633
291	0.3414024264
292	0.3413292308
293	0.3412587508
294	0.3410981023
295	0.3408850476
296	0.3407728407
297	0.3407059013
298	0.3406011222
299	0.3404431074
300	0.3403292162
301	0.3401665457
302	0.3400159114
303	0.3398223308
304	0.3397317141
305	0.3396137066
306	0.3394076652
307	0.3393083388
308	0.3390632847
309	0.3388642984
310	0.3387106215
311	0.3384751522
312	0.338340223
313	0.3382774016
314	0.3380893168
315	0.3379997263
316	0.3379095803
317	0.3377935318
318	0.3376687779
319	0.3375895698
320	0.3374921387
321	0.337368691
322	0.3373006449
323	0.3370746098
324	0.3369458905
325	0.3367573934
326	0.3366476552
327	0.3365430312
328	0.3364624344
329	0.3363581061
330	0.3361962493
331	0.3360623009
332	0.3359416079
333	0.335664309
334	0.3354376485
335	0.3352128099
336	0.3347859536
337	0.3345826244
338	0.3345027123
339	0.3343653606
340	0.3342406401
341	0.3340893705
342	0.3339976792
343	0.3339063992
344	0.3336764255
345	0.3334985958
346	0.3333709179
347	0.3332399406
348	0.3331459862
349	0.3330710788
350	0.3329312534
351	0.3328675334
352	0.3324649755
353	0.3323884169
354	0.3323118758
355	0.3320391155
356	0.3319582196
357	0.3318162223
358	0.3316934884
359	0.3315612388
360	0.3314404639
361	0.331342918
362	0.3311236911
363	0.330976841
364	0.3308308427
365	0.3307140179
366	0.3305481886
367	0.3304467706
368	0.3303405237
369	0.3301625065
370	0.3300743296
371	0.3296318942
372	0.3294174264
373	0.3291653132
374	0.3290427565
375	0.3288203893
376	0.3286526649
377	0.3285161141
378	0.3283564851
379	0.3282397582
380	0.3280817514
381	0.3279670475
382	0.3278649253
383	0.3277689957
384	0.3276319581
385	0.3273675687
386	0.3273032045
387	0.327180593
388	0.3266427506
389	0.326478908
390	0.3263810625
391	0.3262674953
392	0.3258939764
393	0.3257419399
394	0.325642859
395	0.3255092223
396	0.3253077991
397	0.3251981619
398	0.3251454604
399	0.3248877059
400	0.3247629662
401	0.3246313594
402	0.3243767575
403	0.3238424345
404	0.3236388378
405	0.323600016
406	0.3235349297
407	0.3232822681
408	0.323132764
409	0.3227190906
410	0.3225520368
411	0.3224473729
412	0.3223247169
413	0.3221915193
414	0.3220534979
415	0.3219485312
416	0.321821814
417	0.3216973066
418	0.3215838849
419	0.321495314
420	0.3214071051
421	0.3212768337
422	0.3207361294
423	0.3206621976
424	0.3205737793
