iter	Passed	Remaining
0	2	2698
1	5	2692
2	8	2754
3	11	2809
4	14	2796
5	16	2780
6	19	2775
7	23	2881
8	26	2917
9	29	2908
10	32	2920
11	35	2906
12	38	2891
13	40	2864
14	43	2834
15	45	2801
16	47	2763
17	49	2726
18	52	2695
19	54	2660
20	91	4279
21	103	4611
22	114	4857
23	127	5172
24	135	5266
25	138	5185
26	143	5163
27	147	5117
28	151	5059
29	155	5024
30	158	4962
31	162	4929
32	181	5315
33	189	5393
34	197	5437
35	202	5416
36	206	5378
37	210	5333
38	213	5271
39	217	5214
40	221	5172
41	224	5115
42	226	5051
43	229	4984
44	231	4916
45	233	4849
46	236	4786
47	238	4727
48	240	4663
49	242	4601
50	244	4542
51	253	4627
52	255	4570
53	257	4511
54	259	4455
55	261	4400
56	262	4347
57	264	4298
58	266	4249
59	268	4201
60	285	4395
61	287	4351
62	308	4587
63	320	4686
64	337	4857
65	345	4887
66	352	4911
67	356	4892
68	360	4870
69	364	4841
70	367	4810
71	370	4774
72	373	4740
73	376	4706
74	378	4670
75	382	4650
76	384	4613
77	387	4576
78	389	4537
79	391	4498
80	393	4461
81	395	4424
82	396	4385
83	398	4348
84	410	4421
85	419	4457
86	442	4648
87	456	4731
88	465	4767
89	472	4779
90	477	4773
91	483	4772
92	487	4751
93	490	4729
94	493	4701
95	496	4672
96	498	4643
97	516	4753
98	518	4723
99	521	4692
100	523	4662
101	526	4633
102	528	4604
103	531	4576
104	533	4548
105	536	4521
106	538	4494
107	541	4468
108	543	4442
109	546	4424
110	562	4502
111	588	4666
112	601	4717
113	611	4750
114	622	4788
115	629	4795
116	634	4786
117	638	4773
118	643	4761
119	647	4745
120	656	4770
121	659	4746
122	662	4722
123	665	4699
124	668	4676
125	670	4652
126	673	4627
127	676	4609
128	679	4584
129	681	4559
130	683	4533
131	685	4507
132	687	4481
133	689	4455
134	691	4429
135	693	4403
136	694	4377
137	696	4352
138	701	4345
139	703	4319
140	704	4294
141	706	4270
142	709	4251
143	711	4227
144	716	4225
145	718	4201
146	719	4177
147	739	4255
148	753	4304
149	762	4319
150	768	4320
151	774	4320
152	778	4311
153	782	4297
154	785	4283
155	788	4266
156	791	4248
157	809	4313
158	811	4294
159	814	4275
160	816	4257
161	819	4238
162	821	4220
163	824	4203
164	827	4185
165	829	4167
166	831	4149
167	834	4132
168	836	4114
169	840	4102
170	843	4087
171	845	4070
172	847	4052
173	849	4033
174	851	4015
175	853	3996
176	855	3978
177	857	3958
178	859	3940
179	860	3921
180	862	3903
181	864	3884
182	865	3866
183	878	3895
184	883	3894
185	911	3989
186	922	4010
187	932	4027
188	940	4034
189	945	4031
190	949	4022
191	953	4010
192	967	4047
193	983	4085
194	1002	4140
195	1014	4163
196	1023	4170
197	1029	4168
198	1034	4164
199	1039	4156
200	1042	4145
201	1046	4133
202	1049	4119
203	1051	4104
204	1054	4089
205	1056	4074
206	1059	4059
207	1061	4043
208	1064	4028
209	1066	4013
210	1072	4009
211	1074	3992
212	1075	3975
213	1077	3959
214	1079	3942
215	1081	3925
216	1087	3925
217	1089	3908
218	1111	3962
219	1121	3976
220	1130	3986
221	1139	3991
222	1143	3982
223	1147	3973
224	1150	3963
225	1153	3952
226	1157	3940
227	1159	3927
228	1162	3914
229	1166	3905
230	1196	3983
231	1199	3969
232	1212	3990
233	1213	3973
234	1215	3957
235	1217	3941
236	1219	3925
237	1221	3909
238	1222	3893
239	1224	3878
240	1226	3862
241	1228	3847
242	1230	3833
243	1232	3819
244	1234	3805
245	1237	3791
246	1238	3777
247	1240	3763
248	1242	3748
249	1244	3734
250	1246	3720
251	1248	3705
252	1250	3691
253	1251	3676
254	1258	3676
255	1260	3662
256	1262	3649
257	1272	3660
258	1295	3705
259	1308	3723
260	1318	3733
261	1326	3735
262	1333	3736
263	1337	3728
264	1341	3720
265	1344	3710
266	1347	3700
267	1372	3748
268	1386	3768
269	1398	3781
270	1419	3819
271	1431	3832
272	1440	3836
273	1446	3832
274	1451	3827
275	1461	3834
276	1475	3851
277	1478	3839
278	1481	3827
279	1483	3815
280	1486	3803
281	1489	3792
282	1493	3784
283	1496	3772
284	1499	3761
285	1502	3750
286	1503	3735
287	1506	3724
288	1528	3760
289	1542	3775
290	1552	3782
291	1564	3794
292	1571	3791
293	1575	3783
294	1579	3775
295	1583	3766
296	1586	3755
297	1603	3776
298	1609	3773
299	1614	3767
300	1618	3759
301	1623	3752
302	1627	3744
303	1630	3733
304	1633	3721
305	1636	3710
306	1638	3698
307	1640	3686
308	1643	3674
309	1645	3663
310	1648	3651
311	1650	3638
312	1652	3626
313	1655	3615
314	1658	3606
315	1660	3593
316	1662	3580
317	1663	3568
318	1665	3555
319	1667	3542
320	1673	3539
321	1689	3556
322	1690	3544
323	1692	3531
324	1694	3519
325	1696	3506
326	1711	3522
327	1724	3532
328	1745	3560
329	1759	3572
330	1776	3590
331	1787	3597
332	1795	3596
333	1800	3590
334	1804	3582
335	1808	3573
336	1811	3564
337	1814	3554
338	1818	3546
339	1830	3553
340	1832	3542
341	1835	3531
342	1837	3520
343	1840	3509
344	1842	3498
345	1845	3487
346	1847	3476
347	1850	3467
348	1853	3456
